Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Betis,Johnny Cardoso,485,us USA,MF,es La Liga,22,2001,23.8,1109,1083,24,23,2,10,3,1,0,0,0,0,950,2,21,Johnny CardosoBetis
Gladbach,Tiago Cardoso,486,lu LUX,GK,de Bundesliga,18,2006,4.2,179,135,44,13,0,0,0,0,0,0,0,0,134,0,0,Tiago CardosoGladbach
Nantes,Patrik Carlgren,487,se SWE,GK,fr Ligue 1,32,1992,4.6,137,83,53,16,0,0,0,0,0,0,0,0,90,1,0,Patrik CarlgrenNantes
Aston Villa,Diego Carlos,488,br BRA,DF,eng Premier League,31,1993,9.2,603,575,25,17,0,6,0,0,0,0,0,0,534,3,0,Diego CarlosAston Villa
Las Palmas,Jose Carlos Gonzalez,489,es ESP,DF,es La Liga,18,2006,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1,Jose Carlos GonzalezLas Palmas
Sevilla,Carmona,490,es ESP,DF,es La Liga,22,2002,32.7,1798,1432,361,48,1,14,41,313,0,0,0,0,1448,5,37,CarmonaSevilla
Atalanta,Marco Carnesecchi,491,it ITA,GK,it Serie A,24,2000,34.0,1082,821,258,57,0,0,0,0,0,0,0,0,811,3,0,Marco CarnesecchiAtalanta
Celta Vigo,Sergio Carreira,492,es ESP,"MF,DF",es La Liga,23,2000,18.4,895,745,147,3,2,4,41,143,1,0,0,0,681,3,30,Sergio CarreiraCelta Vigo
Real Madrid,Dani Carvajal,493,es ESP,DF,es La Liga,32,1992,6.8,463,409,53,7,0,0,14,46,0,0,0,0,399,1,9,Dani CarvajalReal Madrid
Brentford,Fabio Carvalho,494,pt POR,"FW,MF",eng Premier League,21,2002,5.1,178,163,14,4,2,0,10,1,7,3,0,0,126,1,7,Fabio CarvalhoBrentford
Betis,William Carvalho,495,pt POR,MF,es La Liga,32,1992,5.4,395,383,10,10,0,4,2,0,0,0,0,0,343,2,8,William CarvalhoBetis
Torino,Cesare Casadei,496,it ITA,MF,it Serie A,21,2003,11.3,406,404,2,2,0,3,2,0,0,0,0,0,323,0,5,Cesare CasadeiTorino
Barcelona,Marc Casado,497,es ESP,MF,es La Liga,20,2003,17.9,1367,1330,37,34,4,7,9,3,0,0,0,0,1221,0,17,Marc CasadoBarcelona
Bologna,Nicolo Casale,498,it ITA,DF,it Serie A,26,1998,10.0,512,485,26,20,3,4,0,2,0,0,0,0,448,1,7,Nicolo CasaleBologna
Lazio,Nicolo Casale,499,it ITA,DF,it Serie A,26,1998,1.5,110,110,0,0,0,0,0,0,0,0,0,0,100,0,0,Nicolo CasaleLazio
Manchester Utd,Casemiro,500,br BRA,MF,eng Premier League,32,1992,16.6,990,963,19,17,9,9,20,2,0,0,0,0,780,8,22,CasemiroManchester Utd
West Ham,Kaelan Casey,501,eng ENG,DF,eng Premier League,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kaelan CaseyWest Ham
Aston Villa,Matty Cash,502,pl POL,DF,eng Premier League,26,1997,23.0,945,781,162,23,0,1,40,139,0,0,0,0,732,2,21,Matty CashAston Villa
Brighton,Eiran Cashin,503,ie IRL,DF,eng Premier League,22,2001,0.2,28,28,0,0,0,0,1,0,0,0,0,0,23,0,0,Eiran CashinBrighton
Le Havre,Josue Casimir,504,fr FRA,"FW,MF",fr Ligue 1,22,2001,22.2,597,543,53,6,2,3,85,33,5,2,0,0,410,1,25,Josue CasimirLe Havre
Atalanta,Federico Cassa,505,it ITA,"MF,FW",it Serie A,18,2006,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Federico CassaAtalanta
Toulouse,Cristian Casseres Jr.,506,ve VEN,MF,fr Ligue 1,24,2000,30.0,1421,1272,144,80,5,9,80,11,46,26,12,0,1120,5,26,Cristian Casseres Jr.Toulouse
Fulham,Timothy Castagne,507,be BEL,DF,eng Premier League,28,1995,18.3,953,813,140,10,0,1,37,130,0,0,0,0,780,0,26,Timothy CastagneFulham
Lazio,Valentin Castellanos,508,ar ARG,FW,it Serie A,25,1998,26.5,541,489,50,0,9,1,25,5,0,0,0,0,366,2,20,Valentin CastellanosLazio
